input,target
The Dursleys had a small son called Dudley and in their opinion there was no finer boy anywhere.,"The Dursleys really were astonishingly stupid about their son, Dudley."
"None of them noticed a large, tawny owl flutter past the window.",Nothing flew out of them; the sky was empty but for a few distant owls fluttering around the Owlery tower.
He got into his car and backed out of number fourâ€™s drive.,So great was his discomfort that he almost forgot to take a last glimpse of number four Privet Drive .
"There was a tabby cat standing on the corner of Privet Drive, but there wasnâ€™t a map in sight.","It was now reading the sign that said Privet Drive â€” no, looking at the sign; cats couldnâ€™t read maps or signs."
What could he have been thinking of?,What was I thinking?'
What could he have been thinking of?,He hadn't thought of that.
What could he have been thinking of?,But if he had rememberedâ€¦ if he had thought about itâ€¦ what would he have expected?
What could he have been thinking of?,Was he imagining things?
It stared back.,Harry stared at it.
"It was now reading the sign that said Privet Drive â€” no, looking at the sign; cats couldnâ€™t read maps or signs.","There was a tabby cat standing on the corner of Privet Drive, but there wasnâ€™t a map in sight."
People in cloaks.,Mysterious people in cloaks all over the place?
People in cloaks.,Big and wearing cloaks.'
People in cloaks.,badges on their cloaks.
People in cloaks.,Weâ€™re wearing the Invisibility Cloak.
They were whispering excitedly together.,They were whispering excitedly together.
They were whispering excitedly together.,They were talking quietly together.
The nerve of him!,His nerve had failed him.
Most of them had never seen an owl even at nighttime.,"Although owls normally hunt at night and are hardly ever seen in daylight, there have been hundreds of sightings of these birds flying in every direction since sunrise."
"He didnâ€™t know why, but they made him uneasy.","He kept telling himself that their plan was good, that Griphook knew what they were facing, that they were well-prepared for all the difficulties they were likely to encounter, yet still he felt uneasy."
"He didnâ€™t know why, but they made him uneasy.","Harry didn't know why, but the lack of obstacles was unnerving him."
Fear flooded him.,He was afraid of it.
Mr. Dursley stood rooted to the spot.,Harry stood rooted to the spot.
Mr. Dursley stood rooted to the spot.,"He and Mr Weasley took the lead across the station towards the Dursleys, who were apparently rooted to the floor."
He was rattled.,He was shaking.
â€œShoo!â€ said Mr. Dursley loudly.,MR. DURSLEY!
â€œShoo!â€ said Mr. Dursley loudly.,Mr. Dursley wondered.
The cat didnâ€™t move.,It didnâ€™t move.
